# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Carlos Alberto 1993;20240713;2;2;2;0;0;0;0
Castilho 1965;20240713;2;2;2;0;0;0;0
Castro 1998;20240711;2;1;0;2;0;0;0
Colo Colo 0 X 1 Fluminense;20240708;2;2;0;2.5;0;0;0
Copa do Brasil 2009;20240714;2;2;2;0;0;0;0
Coritiba 1 X 0 Fluminense;20240711;2;2;0;46;0;0;0
Coritiba 2 X 0 Fluminense;20240711;2;1;0;41.5;0;0;0
Coritiba 2 X 1 Fluminense;20240711;2;1;0;16;0;0;0
Criciuma - Brasileiro;20240710;2;1;0;104;0;0;0
Criciuma 1 X 1 Fluminense;20240711;2;2;0;40;0;0;0
Creditos;20240708;2;2;0;17;0;0;0
Curiosidades e Titulos;20240711;2;2;0;52;0;0;0
Desportiva 2 X 0 Fluminense;20240713;2;1;0;0;0;0;0
Diego 2008;20240713;2;2;2;0;0;0;0
Douglas Costa 2024;20240712;2;1;0;3;0;0;0
Edinho 1966;20240713;2;2;2;0;0;0;0
Edinho 1989;20240712;2;1;0;2.5;0;0;0
Egidio 2021;20240713;2;2;2;0;0;0;0
Engenhao;20240713;2;2;2;0;0;0;0
Especiais Adversarios;20240708;2;2;0;9.5;0;0;0
Especiais Campeonatos;20240708;2;2;0;26.5;0;0;0
Especiais Campeonatos;20240714;2;1;0;7.5;0;0;0
Especiais Historicos;20240709;2;2;0;10;0;0;0
Especiais Historicos;20240711;2;2;0;13.5;0;0;0
Especiais Historicos;20240713;2;2;0;48.5;0;0;0
Especiais Jogos;20240708;2;2;0;15;0;0;0
Especiais Jogos;20240712;2;2;0;11.5;0;0;0
Especiais Jogos;20240713;2;2;0;40;0;0;0
